safra,municipio,regiao,chuva_total,temp_media,temp_min_media,et0_total,dias_sem_chuva,tendencia,produtividade_sc_ha
2011,ituiutaba,Triangulo,1433.9,28.954395604395604,21.192307692307693,766.37,22,10,64.3
2011,joao_pinheiro,Noroeste,1377.2,27.798901098901098,19.978571428571428,759.59,42,10,64.3
2011,lavras,Sul de Minas,1080.7,26.20054945054945,17.927472527472528,710.74,38,10,64.3
2011,muriae,Zona da Mata,1437.1,28.939560439560438,21.03021978021978,716.58,56,10,64.3
2011,para_de_minas,Central,1090.6,26.804945054945055,18.77967032967033,762.14,59,10,64.3
2011,paracatu,Noroeste,1532.3,28.306593406593407,20.443406593406593,759.62,32,10,64.3
2011,passos,Sul de Minas,1284.8,27.389560439560437,19.215384615384615,737.62,39,10,64.3
2011,patos_de_minas,Alto Paranaiba,1344.0,26.854395604395606,18.874725274725275,714.2,35,10,64.3
2011,pocos_de_caldas,Sul de Minas,1584.0,24.400000000000002,16.838461538461537,682.09,24,10,64.3
2011,pompeu,Central,1281.6,28.31263736263736,20.423076923076923,792.34,56,10,64.3
2011,presidente_olegario,Alto Paranaiba,1344.0,26.854945054945055,19.01813186813187,714.62,35,10,64.3
2011,rio_paranaiba,Alto Paranaiba,1273.9,27.074725274725278,19.142857142857142,704.67,32,10,64.3
2011,sete_lagoas,Central,1133.9,27.53846153846154,19.197802197802197,777.38,61,10,64.3
2011,uberaba,Triangulo,1827.2,27.79065934065934,19.815384615384616,761.08,18,10,64.3
2011,uberlandia,Triangulo,1455.0,27.134615384615383,19.302197802197803,731.41,21,10,64.3
2011,vicosa,Zona da Mata,996.5,26.562087912087915,19.158241758241758,685.5,50,10,64.3
2012,alfenas,Sul de Minas,1002.7,26.043169398907104,18.30273224043716,716.38,38,11,59.7
2012,araxa,Triangulo,965.2,25.59617486338798,17.562841530054644,718.84,35,11,59.7
2012,brasilania_minas,Noroeste,860.2,28.674863387978142,20.60655737704918,807.25,65,11,59.7
2012,carmo_paranaiba,Alto Paranaiba,1209.4,24.971584699453555,17.115846994535517,682.85,38,11,59.7
2012,ituiutaba,Triangulo,934.4,29.134972677595627,20.82896174863388,833.87,39,11,59.7
2012,joao_pinheiro,Noroeste,1049.5,26.968852459016393,19.20054644808743,754.02,40,11,59.7
2012,lavras,Sul de Minas,1199.0,25.339344262295082,17.03169398907104,704.07,45,11,59.7
2012,muriae,Zona da Mata,1034.6,28.29617486338798,20.083060109289615,714.72,46,11,59.7
2012,para_de_minas,Central,1156.7,25.74590163934426,17.8775956284153,733.62,49,11,59.7
2012,paracatu,Noroeste,1264.0,27.35409836065574,19.4,744.84,40,11,59.7
2012,passos,Sul de Minas,1056.3,26.775956284153004,18.34535519125683,757.72,36,11,59.7
2012,patos_de_minas,Alto Paranaiba,1320.2,25.69781420765027,17.852459016393443,696.5,29,11,59.7
2012,pocos_de_caldas,Sul de Minas,1446.0,23.84262295081967,16.08907103825137,700.23,23,11,59.7
2012,pompeu,Central,1368.1,27.19016393442623,19.337704918032788,763.59,51,11,59.7
2012,presidente_olegario,Alto Paranaiba,1320.2,25.731147540983606,18.059562841530056,696.55,29,11,59.7
2012,rio_paranaiba,Alto Paranaiba,1209.0,25.95846994535519,18.140983606557377,687.6,34,11,59.7
2012,sete_lagoas,Central,1342.9,26.427322404371584,18.34262295081967,750.19,52,11,59.7
2012,uberaba,Triangulo,1259.9,27.460109289617485,19.37814207650273,799.09,26,11,59.7
2012,uberlandia,Triangulo,1003.6,26.743715846994537,18.70601092896175,761.17,33,11,59.7
2012,vicosa,Zona da Mata,1002.2,25.81639344262295,18.293442622950817,674.75,54,11,59.7
2013,alfenas,Sul de Minas,1129.3,27.176923076923075,19.184065934065934,754.46,40,12,81.4
2013,araxa,Triangulo,957.8,26.9032967032967,18.689560439560438,763.33,43,12,81.4
2013,brasilania_minas,Noroeste,897.3,30.47857142857143,21.81758241758242,904.17,92,12,81.4
2013,carmo_paranaiba,Alto Paranaiba,895.2,26.593406593406595,18.316483516483515,755.92,40,12,81.4
2013,ituiutaba,Triangulo,1007.6,30.38021978021978,21.925824175824175,854.68,41,12,81.4
